Column1;Column2;Column3;Column4
Televisor LG LED 43'' FHD ThinQ AI 43LM6370;https://www.plazavea.com.pe/televisor-lg-led-43-fhd-thinq-ai-43lm6370/p;Modelo;LG
Televisor LG LED 60'' UHD 4K Smart Tv 60UP7750 (2021);https://www.plazavea.com.pe/televisor-lg-led-60-uhd-4k-smart-tv-60up7750-2021/p;Modelo;LG
Televisor XIAOMI LED 50'' Smart TV ELA4684LM;https://www.plazavea.com.pe/televisor-xiaomi-led-50-smart-tv-ela4684lm/p;Modelo;XIAOMI
Televisor LG OLED 55'' UHD 4K ThinQ AI OLED55C1 (2021);https://www.plazavea.com.pe/televisor-lg-oled-55-uhd-4k-thinq-ai-oled55c1-2021/p;Modelo;LG
Televisor HISENSE LED 65'' UHD 4K Smart TV 65A6GSV;https://www.plazavea.com.pe/televisor-hisense-led-65-uhd-4k-smart-tv-65a6gsv/p;Modelo;HISENSE
"Televisor PHILIPS LED 32"" HD Smart Tv 32PHD6825";https://www.plazavea.com.pe/televisor-philips-led-32--hd-smart-tv-32phd6825/p;Modelo;PHILIPS
;https://www.plazavea.com.pe/televisor-winia-led-32-hd-smart-tv-l32v750basw/p;;
Televisor LG OLED 55'' UHD 4K ThinQ AI OLED55A1 (2021);https://www.plazavea.com.pe/televisor-lg-oled-55-uhd-4k-thinq-ai-oled55a1-2021/p;Modelo;LG
Televisor HISENSE LED 43'' FHD Smart Tv 43A4GSV;https://www.plazavea.com.pe/televisor-hisense-led-43-fhd-smart-tv-43a4gsv/p;Modelo;HISENSE
;https://www.plazavea.com.pe/televisor-philips-led-43--fhd-smart-tv-43pfd6825/p;;
"Televisor SAMSUNG QLED 50"" Ultra HD / 4K Smart TV QN50Q60AAGXPE";https://www.plazavea.com.pe/televisor-samsung-qled-50--ultra-hd---4k-smart-tv-qn50q60aagxpe/p;Modelo;SAMSUNG
Televisor LG OLED 65'' UHD 4K ThinQ AI OLED65C1 (2021);https://www.plazavea.com.pe/televisor-lg-oled-65-uhd-4k-thinq-ai-oled65c1-2021/p;Modelo;LG
"Televisor SAMSUNG LED 75"" Ultra HD / 4K Smart TV UN75AU7000GXPE";https://www.plazavea.com.pe/televisor-samsung-led-75--ultra-hd---4k-smart-tv-un75au7000gxpe/p;;SAMSUNG
;https://www.plazavea.com.pe/televisor-hyundai-led-42--fhd-smart-tv-hyled425aim/p;;
"Televisor HYUNDAI LED 32"" HD Smart TV HYLED3244NiM";https://www.plazavea.com.pe/televisor-hyundai-led-32--hd-smart-tv-hyled3244nim/p;Modelo;HYUNDAI
Televisor XIAOMI LED 32'' HD Smart TV ELA4644LM;https://www.plazavea.com.pe/televisor-xiaomi-led-32-hd-smart-tv-ela4644lm/p;Modelo;XIAOMI
;https://www.plazavea.com.pe/televisor-hyundai-50--uhd-4k-smart-tv-hyled5017w4km/p;;
;https://www.plazavea.com.pe/televisor-lg-oled-48-4k-thinq-ai-oled48a1psa-2021/p;;
Televisor LG NanoCell 65'' UHD 4K Smart Tv 65NANO75 (2021);https://www.plazavea.com.pe/televisor-lg-nanocell-65-uhd-4k-smart-tv-65nano75-2021/p;Modelo;LG
;https://www.plazavea.com.pe/televisor-panasonic-lcd-32-hd-smart-tv-tc32js500p/p;;
"Televisor SAMSUNG QLED 55"" Ultra HD / 4K Smart TV QN55Q80AAGXPE";https://www.plazavea.com.pe/televisor-samsung-qled-55--ultra-hd---4k-smart-tv-qn55q80aagxpe/p;Modelo;SAMSUNG
Televisor LG OLED 65'' 4K ThinQ AI OLED65G1 (2021);https://www.plazavea.com.pe/televisor-lg-oled-65-4k-thinq-ai-oled65g1-2021/p;Modelo;LG
;https://www.plazavea.com.pe/televisor-aoc-led-50--uhd-4k-smart-tv-50u6305/p;;
;https://www.plazavea.com.pe/televisor-panasonic-led-55-uhd-4k-smart-tv-tc55hx550p/p;;
"Televisor HYUNDAI LED 58"" UHD 4K Smart Tv HYLED5806A4KM";https://www.plazavea.com.pe/televisor-hyundai-led-58--uhd-4k-smart-tv-hyled5806a4km/p;Modelo;HYUNDAI
Televisor LG NanoCell 65'' UHD 4K ThinQ AI 65NANO85 (2021);https://www.plazavea.com.pe/televisor-lg-nanocell-65-uhd-4k-thinq-ai-65nano85-2021/p;Modelo;LG
Televisor PANASONIC LED 50'' UHD 4K Smart TV TC-50HX550P;https://www.plazavea.com.pe/televisor-panasonic-led-50-uhd-4k-smart-tv-tc50hx550p/p;Modelo;PANASONIC
